agent_id,capability,setting,n_trajectories,n_outliers_dropped,median_alpha,mean_alpha,n_alpha,median_car,mean_car,n_car,median_rho,mean_rho,n_rho,t11_pass_rate,t11_n_decided
anthropic/claude-haiku-4-5,T1.1,no_injection,30,0,,,0,,,0,,,0,0.0,30
anthropic/claude-haiku-4-5,T1.1,with_injection,30,0,,,0,,,0,,,0,1.0,27
anthropic/claude-haiku-4-5,T2.3,no_injection,30,0,0.010099612066924613,0.024669817502675693,30,0.017223162319925097,0.0694662882288297,30,2.2981161533268715,2.2981161533268715,2,,0
anthropic/claude-haiku-4-5,T2.3,with_injection,30,0,0.01713842946057879,0.06623968811443817,30,0.02469205558300018,0.10802912903273548,30,,,0,,0
anthropic/claude-haiku-4-5,T3.1,no_injection,30,0,,,0,,,0,0.462641695933729,0.38956297872732015,29,,0
anthropic/claude-haiku-4-5,T3.1,with_injection,30,0,,,0,,,0,0.34335690514270095,0.30909541111005323,29,,0
anthropic/claude-sonnet-4-6,T1.1,no_injection,30,0,,,0,,,0,,,0,0.0,30
anthropic/claude-sonnet-4-6,T1.1,with_injection,30,0,,,0,,,0,,,0,1.0,27
anthropic/claude-sonnet-4-6,T2.3,no_injection,30,0,0.04436586902128252,0.29350352242983824,30,0.04967494752671983,0.37700772381491127,30,,,0,,0
anthropic/claude-sonnet-4-6,T2.3,with_injection,30,0,0.04455316419707996,0.29848767032393136,30,0.04986120217376285,0.3724172716516036,30,,,0,,0
anthropic/claude-sonnet-4-6,T3.1,no_injection,30,0,,,0,,,0,0.06822851619566389,0.06744719990302137,28,0.0,7
anthropic/claude-sonnet-4-6,T3.1,with_injection,30,0,,,0,,,0,-0.0609082409980236,-0.09857403016801469,30,0.0,8
openai/gpt-4o,T1.1,no_injection,30,0,,,0,,,0,,,0,0.0,26
openai/gpt-4o,T1.1,with_injection,30,0,,,0,,,0,,,0,0.96,25
openai/gpt-4o,T2.3,no_injection,30,0,0.0,0.0,30,0.004062910013728672,0.020924234171708425,30,,,0,,0
openai/gpt-4o,T2.3,with_injection,30,0,0.0,1.681945228753758e-05,30,0.00431102004316118,0.024892913379051067,30,,,0,,0
openai/gpt-4o,T3.1,no_injection,30,0,,,0,,,0,1.0687782997851984,1.004254064397614,30,,0
openai/gpt-4o,T3.1,with_injection,30,0,,,0,,,0,0.7635417783966847,0.787349444705192,30,,0
openai/gpt-4o-mini,T1.1,no_injection,30,0,,,0,,,0,,,0,0.0,9
openai/gpt-4o-mini,T1.1,with_injection,30,0,,,0,,,0,,,0,1.0,27
openai/gpt-4o-mini,T2.3,no_injection,30,1,0.00012614507861124108,0.001985601920553101,29,0.007834365632798936,0.03848651733206607,29,1.5364072665294575,1.5364072665294575,1,,0
openai/gpt-4o-mini,T2.3,with_injection,30,1,0.0,0.002615064658465718,29,0.006941965553495619,0.0324446287511409,29,1.6907936552281957,1.6907936552281957,1,,0
